Time (s),Average BPM
0.675,122.914
1.195,122.964
1.685,123.323
2.179,124.534
2.659,124.407
3.156,124.948
3.642,124.948
4.119,126.057
4.566,127.598
5.053,133.351
5.513,130.615
5.967,131.234
6.437,132.413
6.868,131.602
7.192,131.339
7.825,131.073
8.295,131.246
8.735,131.159
9.248,131.325
9.728,124.972
10.202,125.723
10.656,128.865
11.113,128.471
11.576,127.524
12.040,128.257
12.490,128.416
12.954,128.497
13.440,128.240
13.917,128.154
14.397,128.412
14.871,128.669
15.341,129.735
15.805,130.262
16.265,130.495
16.719,131.168
17.172,131.408
17.586,131.249
18.030,130.855
18.507,130.144
18.957,129.423
19.427,127.959
19.907,127.141
20.394,125.359
20.887,123.378
21.377,122.191
21.894,120.868
22.381,119.224
22.901,117.795
23.427,117.357
23.927,117.543
24.467,117.711
24.983,117.618
25.493,118.781
25.977,120.056
26.487,121.092
26.977,123.202
27.493,124.717
27.960,125.230
28.434,125.739
28.894,126.057
29.348,125.529
29.805,125.454
30.265,125.522
30.752,125.046
31.222,124.879
31.758,124.321
32.252,124.234
32.765,123.621
33.252,124.717
33.738,125.683
34.215,125.777
34.672,126.375
35.129,126.526
35.576,126.129
36.013,126.416
36.487,125.780
36.993,123.855
37.480,121.841
38.013,120.036
38.526,116.113
39.089,114.236
39.629,113.205
40.159,111.638
40.675,111.188
41.222,111.273
41.772,111.343
42.321,112.324
42.874,112.987
43.384,113.777
43.944,117.044
44.444,119.165
44.947,121.671
45.434,124.977
45.914,126.154
46.371,126.368
46.831,129.195
47.278,130.399
47.702,131.674
48.166,132.404
48.632,134.546
49.066,133.740
49.517,134.274
49.967,134.458
50.424,133.974
50.828,134.782
51.318,135.123
51.758,135.833
52.199,136.392
52.639,136.304
53.073,137.137
53.526,137.027
53.937,138.190
54.368,139.418
54.821,140.003
55.248,140.691
55.656,142.052
56.099,142.383
56.500,143.223
56.921,144.297
57.338,145.551
57.765,146.023
58.152,146.216
58.593,146.797
58.977,147.727
59.371,148.879
59.778,150.239
60.189,150.989
60.593,151.073
60.980,150.585
61.387,151.917
61.752,151.814
62.126,151.814
62.517,153.154
62.940,153.725
63.344,153.541
63.735,153.053
64.123,152.610
64.517,150.744
64.881,149.834
65.272,149.523
65.682,149.504
66.086,149.141
66.510,148.848
66.937,148.267
67.341,147.194
67.778,145.416
68.169,145.562
68.586,145.027
68.987,145.112
69.394,145.555
69.828,145.472
70.228,145.217
70.636,145.393
71.056,144.581
71.467,143.950
71.874,142.998
72.305,142.801
72.735,142.074
73.152,141.256
73.593,141.678
74.026,140.873
74.440,139.682
74.877,140.625
75.311,141.456
75.719,141.053
76.156,142.741
76.603,142.830
77.003,144.862
77.407,145.128
77.838,145.878
78.225,146.398
78.646,146.469
79.076,147.622
79.430,149.524
79.858,149.067
80.265,150.087
80.656,150.428
81.063,150.130
81.457,151.712
81.834,152.415
82.252,151.201
82.623,151.820
83.040,152.933
83.437,152.834
83.805,153.837
84.209,153.365
84.599,153.051
85.003,154.660
85.374,153.928
85.768,155.311
86.142,155.409
86.553,154.371
86.940,154.962
87.305,155.063
87.699,156.787
88.070,156.358
88.464,156.457
