Time (s),Average BPM
0.642,113.213
1.252,110.938
1.719,109.632
2.146,108.725
2.742,107.527
3.344,107.241
3.934,106.365
4.520,103.597
5.132,97.536
5.762,97.263
6.424,98.689
7.076,97.948
7.685,98.502
8.275,99.234
8.831,99.091
9.434,100.798
10.020,102.284
10.613,103.116
11.225,102.867
11.791,101.766
12.361,101.470
12.927,100.748
13.530,100.097
14.142,100.366
14.762,99.193
15.387,98.798
16.017,98.529
16.659,98.954
17.245,99.082
17.834,99.886
18.414,100.805
19.000,101.648
19.599,102.907
20.175,103.589
20.752,104.334
21.334,105.412
21.907,106.022
22.460,106.672
23.013,107.085
23.543,108.760
24.099,108.444
24.666,109.795
25.222,109.050
25.725,109.737
26.325,110.487
26.838,110.931
27.427,112.669
27.950,113.844
28.450,115.986
28.987,118.826
29.480,119.057
29.987,121.637
30.470,122.840
30.930,123.356
31.397,124.832
31.901,125.719
32.371,126.688
32.844,127.858
33.311,128.342
33.752,128.693
34.245,129.034
34.699,130.133
35.156,130.918
35.619,131.601
36.066,131.942
36.520,132.036
36.977,133.182
37.417,133.544
37.864,133.631
38.318,133.716
38.755,134.283
39.202,134.196
39.642,134.372
40.096,134.372
40.556,134.463
40.983,134.732
41.440,134.455
41.891,134.276
42.331,133.828
42.775,134.006
43.219,134.179
43.666,133.433
44.119,134.168
44.576,134.257
45.023,134.074
45.477,134.074
45.930,134.356
46.361,135.124
46.808,135.213
47.255,135.850
47.699,136.418
48.132,137.572
48.553,137.485
49.003,137.992
49.437,137.473
49.864,137.037
50.278,137.318
50.735,137.318
51.149,136.550
51.616,135.568
52.079,134.930
52.513,132.927
52.947,130.241
53.394,130.134
53.884,131.541
54.341,129.326
54.848,129.316
55.368,126.142
55.907,121.719
56.242,119.842
56.818,116.988
57.381,115.018
57.944,110.525
58.526,106.832
59.166,94.702
59.921,90.572
60.656,88.969
61.384,88.030
62.073,87.433
62.702,89.022
63.325,89.928
63.993,91.235
64.656,92.414
65.338,92.272
65.993,93.180
66.623,94.763
67.258,96.684
67.877,99.091
68.483,124.278
69.070,126.042
69.636,127.487
70.195,128.006
70.503,131.462
70.738,127.954
71.288,128.466
71.834,128.703
72.437,128.957
73.060,122.307
73.636,106.939
74.209,109.192
74.762,108.903
75.291,111.086
75.805,113.536
76.268,115.477
76.828,118.039
77.331,119.432
77.838,120.778
78.331,121.939
78.831,122.418
79.308,122.650
79.798,124.839
80.272,126.026
80.738,127.196
81.185,138.104
81.666,139.565
82.123,141.767
82.576,142.507
83.033,143.931
83.281,145.333
83.712,146.524
84.152,146.394
84.546,147.964
85.003,156.062
85.421,159.554
85.828,154.463
86.242,155.537
86.659,157.090
87.070,157.307
87.321,157.541
87.659,159.561
88.053,160.515
88.447,161.199
88.834,161.961
89.222,162.812
89.596,163.284
89.977,156.095
90.361,153.492
90.745,152.584
91.132,151.351
91.520,151.058
91.914,149.767
92.328,148.020
92.745,146.595
93.172,145.193
93.613,143.791
94.043,141.376
94.474,140.204
94.901,139.896
95.331,139.896
95.762,140.304
96.192,142.325
96.623,143.840
97.046,144.808
97.464,145.792
97.877,146.553
98.272,147.417
98.675,147.318
99.056,147.928
99.454,148.447
99.848,148.620
100.252,149.021
100.652,147.650
101.063,145.233
101.470,143.415
101.881,145.693
102.298,145.589
102.765,143.080
103.252,137.871
103.725,133.637
104.050,132.269
104.450,129.198
104.921,124.354
105.570,120.342
106.172,121.954
106.692,119.697
107.321,117.156
108.000,116.892
108.430,120.498
108.785,122.542
109.275,123.334
109.768,121.536
110.248,123.689
110.715,126.319
111.215,127.112
111.785,118.542
112.298,116.215
112.821,114.913
113.228,112.618
113.914,110.660
114.510,110.139
115.040,113.653
115.596,118.266
116.182,113.337
116.778,112.975
117.182,111.611
117.566,111.407
118.149,110.438
118.861,109.819
119.540,108.073
120.139,92.545
120.755,89.043
121.447,87.316
122.129,88.681
122.894,96.547
123.725,95.259
124.338,94.764
124.808,95.736
125.291,93.835
125.980,94.373
126.705,96.506
127.450,90.224
128.175,84.534
128.848,84.534
129.553,95.029
130.265,99.482
130.954,99.342
131.480,101.667
131.917,106.099
132.434,112.134
133.169,111.639
133.725,111.412
134.149,121.120
134.579,116.299
135.331,129.170
136.036,144.685
136.334,148.368
136.974,143.456
137.268,138.955
137.649,138.955
138.099,140.410
138.341,140.410
138.990,133.962
139.626,134.880
140.262,123.454
140.944,97.338
141.613,94.962
142.020,93.627
142.818,93.807
143.609,95.948
144.321,97.770
144.944,90.142
145.526,92.278
146.123,94.654
146.725,92.339
147.421,97.643
148.070,99.829
148.858,97.402
149.331,99.859
149.927,104.912
150.444,104.022
151.182,105.387
151.685,108.912
152.159,107.185
152.778,108.276
153.351,106.136
153.907,108.050
154.447,105.457
154.990,102.800
155.609,101.473
156.219,102.022
156.844,103.284
157.540,103.488
158.136,106.179
158.679,107.715
159.182,109.125
159.682,109.783
160.189,111.570
160.689,111.956
161.228,111.054
161.818,109.793
162.404,109.122
162.980,108.165
163.566,107.738
164.123,107.814
164.649,108.931
165.195,110.630
165.712,112.663
166.248,116.337
166.785,118.681
167.295,120.228
167.785,121.917
168.272,123.432
168.738,124.504
169.195,126.538
169.659,129.443
170.132,130.266
170.589,131.711
171.033,133.789
171.480,134.043
171.897,134.492
172.371,136.453
172.805,136.700
173.215,137.532
173.672,133.955
174.113,134.523
174.510,134.734
174.974,136.288
175.401,137.673
176.026,138.105
176.454,140.409
176.864,140.945
177.281,140.945
177.672,142.956
178.076,144.496
178.503,144.997
178.881,149.237
179.301,151.104
179.699,152.090
180.089,153.148
180.467,153.670
180.864,154.803
181.262,156.555
181.626,157.730
182.003,159.543
182.384,159.943
182.758,161.158
183.126,161.051
183.493,161.149
183.838,160.684
184.199,158.988
184.583,155.696
184.937,155.541
185.318,152.812
185.712,148.705
186.126,144.781
186.546,142.103
187.063,137.240
187.533,131.403
188.060,127.639
188.576,125.315
189.063,121.326
189.536,121.352
190.020,122.312
190.536,122.824
191.010,124.064
191.500,125.442
191.993,126.621
192.467,127.773
192.917,129.775
193.387,132.085
193.844,133.958
194.285,135.798
194.715,138.412
195.126,139.475
195.550,140.623
195.957,142.469
196.377,144.006
196.791,145.236
197.209,145.777
197.629,146.929
198.046,147.747
198.447,148.670
198.848,149.251
199.245,150.396
199.639,151.261
200.030,151.718
200.411,151.806
200.801,151.633
201.189,150.673
201.570,150.749
201.954,149.435
202.354,147.849
202.772,146.155
203.195,143.734
203.632,141.497
204.076,137.893
204.526,135.805
204.977,134.303
205.444,133.615
205.917,133.417
206.374,133.609
206.825,134.086
207.275,134.944
207.715,135.803
208.146,136.694
208.576,136.775
209.003,133.840
209.424,133.901
209.844,129.775
210.278,126.388
210.748,123.432
211.354,120.152
212.007,114.547
212.593,111.940
213.139,109.817
213.702,108.544
214.235,109.113
214.738,109.490
